,session_id,track_id,skip_1,skip_2,skip_3,not_skipped,context_switch,hist_user_behavior_reason_start,hist_user_behavior_reason_end,hist_user_behavior_is_shuffle,skip_score,liking,rating
0,0_00006f66-33e5-4de7-a324-2d18e439fc1e,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
1,0_00079a23-1600-486a-91bd-5208be0c745a,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,0.3,0.4,0,0.2,0.7,0.8999999999999999
2,0_012b0fb4-0cc3-429f-9a78-cc6e622153fb,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
3,0_013cc010-c476-4ad2-8972-73449e0b2ef4,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
4,0_01a5f0dc-9938-48c9-92f1-c7e51f34d290,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.3,1,0.2,2.3,2.5
5,0_01f86af2-cf48-42a6-9bf8-adb91f072909,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
6,0_02340c3b-c370-4c98-b759-87be85e11aa3,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
7,0_02a8ebbd-5a12-4343-a7da-2ea912102f90,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,0,0,1.0,0.3,0,0.0,1.3,1.3
8,0_032c39c8-3a11-4f90-a3c5-38461b4d365d,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
9,0_03373b7c-3c30-4bac-a909-1a4ecc310797,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,0,1,0.2,0.3,1,0.0,1.5,1.5
10,0_04452794-0084-4712-9808-1845d338c8b9,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
11,0_04ab5699-1f6a-40ef-b8a6-9ebad09e85f6,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,1,0.5,0.3,0,0.2,0.8,1.0
12,0_05219b57-68f2-4eac-a139-85cef6f3809b,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
13,0_05b0cc6b-6615-44bd-ba6d-d6737cd5324a,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.4,0,0.2,1.4,1.5999999999999999
14,0_05de15dc-d2a9-43aa-b00e-e7298df02293,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
15,0_0677eaaf-e4bf-4418-9cc0-55e596171a6a,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,-0.5,0.2,0,0,1.0,0.3,0,-0.3,1.3,1.0
16,0_069bb1f2-5fc7-4ab0-9d5f-3d915dbc3ad3,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,1,0.2,0.3,0,0.2,0.5,0.7
17,0_06a28c80-2dca-434d-8404-3a86f77a0a10,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.4,0,0.2,1.4,1.5999999999999999
18,0_0792cde4-90a0-45e9-bf9e-b4f78114f1bf,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.9,0,-1.3,1.2,-0.10000000000000009
19,0_07ac84c3-df8b-465a-8687-926376ef1dc2,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
20,0_07ba5d63-0d11-472e-804e-ebdd584e21a1,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.9,0,-1.3,1.2,-0.10000000000000009
22,0_083f4637-5ab2-46b4-a587-e5f6d17361ed,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,0,0,0.2,0.4,0,0.0,0.6000000000000001,0.6000000000000001
24,0_0868aba4-fa29-4a4b-9a8b-19af02be48c3,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,1,0.2,1.0,0,1.0,1.2,2.2
25,0_08748019-88a3-4fb6-91c7-4a4acc30619d,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,-0.5,0.2,0,0,0.2,0.4,0,-0.3,0.6000000000000001,0.3000000000000001
26,0_08766f3c-2c0f-447e-b864-358427c870de,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
27,0_089a63ed-e193-4a67-ae5d-558589df70ae,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
28,0_08e4428d-daf9-454f-948b-3443504575c2,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.4,0,0.2,1.4,1.5999999999999999
29,0_0953e151-1282-483d-ae79-11aded89caa8,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
30,0_0a326cb8-9ccb-4d83-9b6c-81ab60f864ce,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.9,0,0.2,1.9,2.1
32,0_0a4fe569-2953-44f1-8f28-93b355312db8,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.2,0.4,0,-1.3,0.6000000000000001,-0.7
33,0_0aa35fc7-8945-4b79-ac47-d0ec50c3a0e5,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
34,0_0b31d0ea-bdf1-42aa-8b83-b75572855c8b,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,0.2,1.0,0,1.0,1.2,2.2
35,0_0b3dc098-93d3-47c1-8366-21e918dae6c0,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.9,1,0.2,2.9,3.1
37,0_0bd3e392-517d-40ea-902a-bcdb4ba1c9e0,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,1.0,0.3,0,0.2,1.3,1.5
38,0_0beeb3f0-0ee4-4f0b-a636-286fd7dc1055,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
39,0_0c6d1b2d-38af-47d1-a6e3-8b28bfd9f0a3,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.2,0,0,0.3,0.3,0,0.2,0.6,0.8
40,0_0c7d2d20-f448-451f-9117-20a457e8fc5a,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
41,0_0c7e8462-8442-490c-85c5-d91738a204f1,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
43,0_0cf57713-22e6-4e7c-9b04-ac1a915d0737,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,0,0.0,0.0,1,0,1.0,1.0,1,1.0,3.0,4.0
44,0_0ddaf441-605b-4fa7-94d4-c4322dde3400,t_0479f24c-27d2-46d6-a00c-7ec928f2b539,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
46,0_08d5b244-2076-4302-899e-d8adb67c9163,t_9099cd7b-c238-47b7-9381-f23f2c1d1043,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
51,0_0008bd24-bbb0-4747-b777-7c97ce5ab3a9,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
52,0_000fccb3-2639-46b8-b766-81167a5bce01,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,-1,-0.5,0.2,0,0,0.3,0.3,0,-1.3,0.6,-0.7000000000000001
53,0_001ebc74-ee3d-4cbf-b2ca-94d957e44583,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.2,1.0,0,1.0,1.2,2.2
55,0_0035b35a-215a-49db-a49b-0b89ddf096bb,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,1.0,1.0,0,1.0,2.0,3.0
56,0_0040c1f3-634d-4a9d-9b59-28e388e7a69a,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,0,0.3,1.0,0,1.0,1.3,2.3
57,0_0047abb7-32a1-4e11-bb62-3919444d7a73,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.2,0,0,1.0,0.9,0,0.2,1.9,2.1
59,0_004f40aa-9865-4164-a946-c7dae394639b,t_fc5df5ba-5396-49a7-8b29-35d0d28249e0,0,0.0,0.0,1,1,0.3,1.0,0,1.0,1.3,2.3
